,Geographic Information,,,All Ages,,,,,,Age 0-17,,,,,,Age 5-17 in Families,,,,,,Median Household Income,,,Age 0-4,,,,,
Year,State FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
2019,39,OH,Ohio,"1,474,285","1,449,452","1,499,118",13,12.8,13.2,"458,134","443,797","472,471",18.1,17.5,18.7,"306,068","293,671","318,465",16.6,15.9,17.3,"58,704","58,147","59,261","140,477","134,175","146,779",20.9,20,21.8
2019,40,OK,Oklahoma,"578,631","567,495","589,767",15.1,14.8,15.4,"183,999","177,965","190,033",19.7,19.1,20.3,"125,766","120,686","130,846",18.4,17.7,19.1,"54,447","53,856","55,038","54,152","51,070","57,234",21.9,20.7,23.1
2019,41,OR,Oregon,"474,302","461,869","486,735",11.5,11.2,11.8,"114,674","107,590","121,758",13.6,12.8,14.4,"79,068","72,811","85,325",12.8,11.8,13.8,"66,955","66,103","67,807","31,011","27,701","34,321",14.1,12.6,15.6
2019,42,PA,Pennsylvania,"1,481,193","1,453,602","1,508,784",12,11.8,12.2,"426,395","411,822","440,968",16.5,15.9,17.1,"300,187","287,260","313,114",15.9,15.2,16.6,"63,455","63,028","63,882","116,446","110,131","122,761",17.2,16.3,18.1
2019,44,RI,Rhode Island,"118,095","112,012","124,178",11.6,11,12.2,"33,122","30,808","35,436",16.5,15.3,17.7,"22,754","20,804","24,704",15.4,14.1,16.7,"70,383","68,918","71,848","9,896","8,760","11,032",18.9,16.7,21.1
2019,45,SC,South Carolina,"695,259","677,534","712,984",13.9,13.5,14.3,"216,175","207,434","224,916",19.9,19.1,20.7,"151,485","143,789","159,181",19,18,20,"56,360","55,542","57,178","60,443","56,669","64,217",21.4,20.1,22.7
2019,46,SD,South Dakota,"101,371","96,713","106,029",11.9,11.4,12.4,"31,584","29,379","33,789",14.9,13.9,15.9,"20,542","18,673","22,411",13.6,12.4,14.8,"60,414","58,658","62,170","10,173","9,145","11,201",17.2,15.5,18.9
2019,47,TN,Tennessee,"919,850","901,358","938,342",13.8,13.5,14.1,"286,752","276,627","296,877",19.4,18.7,20.1,"194,183","185,728","202,638",18,17.2,18.8,"56,047","55,399","56,695","86,482","81,138","91,826",21.9,20.5,23.3
2019,48,TX,Texas,"3,870,944","3,820,568","3,921,320",13.6,13.4,13.8,"1,401,195","1,370,295","1,432,095",19.2,18.8,19.6,"960,219","932,899","987,539",18,17.5,18.5,"64,044","63,548","64,540","416,641","402,094","431,188",21.4,20.7,22.1
2019,49,UT,Utah,"279,435","268,423","290,447",8.8,8.5,9.1,"88,325","82,131","94,519",9.6,8.9,10.3,"58,514","53,233","63,795",8.7,7.9,9.5,"75,705","74,655","76,755","25,728","22,791","28,665",10.6,9.4,11.8
2019,50,VT,Vermont,"60,624","57,229","64,019",10.1,9.5,10.7,"12,054","10,937","13,171",10.8,9.8,11.8,"8,185","7,229","9,141",9.8,8.7,10.9,"63,293","61,699","64,887","3,281","2,748","3,814",11.9,10,13.8
2019,51,VA,Virginia,"822,944","805,003","840,885",9.9,9.7,10.1,"242,806","232,710","252,902",13.3,12.7,13.9,"166,023","157,553","174,493",12.5,11.9,13.1,"76,471","75,649","77,293","68,257","63,192","73,322",13.9,12.9,14.9
2019,53,WA,Washington,"731,216","712,292","750,140",9.8,9.5,10.1,"195,927","186,046","205,808",12,11.4,12.6,"132,232","123,840","140,624",11.2,10.5,11.9,"78,674","77,776","79,572","57,040","52,565","61,515",12.9,11.9,13.9
2019,54,WV,West Virginia,"281,175","271,926","290,424",16.2,15.7,16.7,"72,505","68,983","76,027",20.8,19.8,21.8,"50,314","47,261","53,367",19.6,18.4,20.8,"48,659","47,569","49,749","20,519","18,902","22,136",23.2,21.4,25
2019,55,WI,Wisconsin,"591,404","578,030","604,778",10.4,10.2,10.6,"167,882","160,492","175,272",13.5,12.9,14.1,"115,695","109,257","122,133",12.7,12,13.4,"64,177","63,584","64,770","47,185","43,699","50,671",14.7,13.6,15.8
2019,56,WY,Wyoming,"55,776","51,997","59,555",9.9,9.2,10.6,"15,137","13,730","16,544",11.7,10.6,12.8,"9,664","8,492","10,836",10.1,8.9,11.3,"66,152","64,261","68,043","4,721","4,034","5,408",14,12,16
