Year,State FIPS,Postal Code,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
2009,48,TX,Texas,4143077,4100135,4186019,17.1,17,17.3,1655085,1628349,1681820,24.3,23.9,24.7,1065227,1043506,1086948,22.5,22,22.9,48286,48044,48528,567633,552682,582585,27.9,27.1,28.6
2009,49,UT,Utah,321441,310622,332259,11.7,11.3,12.1,110852,104327,117377,12.9,12.2,13.7,70243,64891,75595,12,11.1,12.9,55183,54441,55925,37628,34090,41166,13.9,12.6,15.3
2009,50,VT,Vermont,69137,65818,72455,11.5,11,12.1,17371,15991,18750,14,12.9,15.1,10734,9552,11916,11.7,10.4,12.9,51219,50356,52081,5869,5215,6522,18.9,16.8,21
2009,51,VA,Virginia,805555,787077,824032,10.6,10.3,10.8,255156,244423,265888,14,13.5,14.6,165115,155838,174392,12.8,12.1,13.5,59372,58904,59840,83300,77768,88832,16,15,17.1
2009,53,WA,Washington,803266,786594,819938,12.3,12,12.6,249767,239399,260135,16.2,15.5,16.9,160882,151705,170059,14.7,13.9,15.5,56479,55969,56990,80967,76310,85624,18.4,17.3,19.5
2009,54,WV,West Virginia,316155,308177,324134,17.8,17.4,18.3,91059,87297,94821,24.1,23.1,25.1,60850,57680,64020,22.2,21.1,23.4,37423,36756,38090,28902,26930,30874,28,26.1,30
2009,55,WI,Wisconsin,682973,668796,697151,12.4,12.2,12.7,215052,206917,223186,16.7,16.1,17.3,138405,131433,145377,15,14.2,15.7,49994,49598,50390,70661,66774,74547,19.7,18.7,20.8
2009,56,WY,Wyoming,53974,50808,57140,10.2,9.6,10.8,17176,15550,18801,13.2,12,14.5,9953,8668,11238,11.2,9.7,12.6,54400,52985,55814,6399,5466,7331,16,13.7,18.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Source: U.S. Census Bureau, Small Area Estimates Branch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Internet Release date: December 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
